File,Left Context,Hit,Right Context
PP_BEA_2020.txt,"services trade collection program . Of the services supplied through U.S. affiliates to foreign persons , distributive services in wholesale and retail trade are generally ",not included ,"as U.S. exports of services . 16 . Information on the destination of services sales by affiliation is not collected annually , but "
RM_ECB_2016_2.txt,"not only data on reserve assets included in the euro area b.o.p . and i.i.p . , but also data on other foreign currency assets ",not included ,as official reserve assets and the reserve - related liabilities of the Eurosystem.13 12 See Chapter 4 for more details on the national 
RM_IMF_2009_e.txt,"government activities ( i.e. , fiscal activities , rather than for a public corporation , as defined in paragraph 4.108 ) , that entity is ",not included ,as part of the general government in either its economy of residence or the economy of the government that uses the entity . 
RM_UN+al._2010_E.txt,enterprises is defined to include trade with all enterprises with which there is a direct investment relationship . 6 . Other variables 4.64 . Although ,not included ,"as priority items , there are other FATS variables of significance — perhaps , for certain countries , of equal or greater importance "
RM_IMF_2009_e.txt,"cash is exchanged , no transaction should be reported . Securities lent are the assets of the original authorities , and securities collateral received are ",not included ,as reserve assets of the receiving monetary authorities . 6.91 Financial derivatives are recorded in reserve assets only if the derivatives pertain to 
RM_EC+al_2009.txt,"over which no ownership rights can be exercised , or mineral or fuel deposits that have not been discovered or that are unworkable , are ",not included ,"as they are not capable of bringing any benefits to their owners , given the technology and relative prices existing at the time "
RM_EC+al_2009.txt,that keep a complete set of accounts but are not classified as part of central government . Supervisory authorities that are separate institutional units are ,not included ,"with the central bank but are included with financial auxiliaries . As long as the central bank is a separate institutional unit , "
RM_EC+al_2009.txt,that keep a complete set of accounts but are not classified as part of central government . Supervisory authorities that are separate institutional units are ,not included ,"with the central bank but are included with financial auxiliaries . As long as the central bank is a separate institutional unit , "
RM_EC+al_2009.txt,kind . Paid domestic employees have no claim upon the collective resources of their employers ’ households and the accommodation and food they consume are ,not included ,with their employer ’s consumption . They should therefore be treated as belonging to separate households from their employers . 4.152 Persons living 
RM_EC+al_2009.txt,kind . Paid domestic employees have no claim upon the collective resources of their employers ’ households and the accommodation and food they consume are ,not included ,with their employers ’ consumption . They should therefore be treated as belonging to separate households from their employers . 24.15 Persons living 
RM_BEA_2014.txt,"gold exported or imported in forms such as ore , scrap and base bullion , refined bullion , and coins and medal­ lions — are ",not included ,with transactions in monetary gold ; they are included in goods exports and goods imports . Departures from BPM6 10.350 . The coverage 
PP_ECB_2016.txt,"resolved . In this quality report , only monthly revisions are assessed . Those relating to the i.i.p . ( i.e. quarterly revisions ) are ",not included ,", as the short time span renders only three observations available . Under these circumstances , the reliability of similar indicators would be "
RM_IMF_2009_e.txt,"paragraphs 10.62–10.70 . Goods temporarily imported or re - exported without a change of ownership , such as for repair or operating lease , are ",not included ,", as discussed in paragraph 10.22(e ) . 10.39 Where possible , re - exports should be shown separately as a supplementary item "
RM_ECB_2016_2.txt,"those that are available to PSPs in a completely automated way from their payment procedures , and therefore the statistical concept of the transaction is ",not included ,", nor any information related to the final issuer / receiver of the credits / debits . The information reported by PSPs contains "
RM_IMF_2009_e.txt,supplied by and to governments and not included in other categories of services . Transactions of public corporations ( defined in paragraph 4.108 ) are ,not included ,", unless the other party is one of the specified types of institutions . Goods and services supplied by and to government and "
PR_BEA_2020_5.txt,recreational services Government goods and services n.i.e . Balance on services Supplemental detail on insurance transactions : Premiums received Losses paid Premiums paid Losses recovered  ,Not included ,"elsewhere  1 . Manufacturing services on physical inputs owned by others in the United States is a new major service category , but "
PR_BEA_2020_5.txt,Supplemental detail on insurance transactions:7 Premiums received Direct insurance Reinsurance Losses paid Direct insurance Reinsurance Premiums paid Direct insurance Reinsurance Losses recovered Direct insurance Reinsurance  ,Not included ,"elsewhere  1 . Manufacturing services on physical inputs owned by others in the United States is a new major service category , but "
PP_EuS_2019-02.txt,"recreational services   Other business services Government services , not included elsewhere   Personal , cultural and recreational services   Government goods and services , ",not included ,"elsewhere  From a first look at the new services categories , it can be seen that some categories have been dropped , others "
PR_BEA_2020_5.txt,"and revised source data A nonzero value between −$50,000,000 and $ 50,000,000 . Transactions are possible , but data are not available . Not applicable ",Not included ,elsewhere  Note . Reclassifications were calculated using unrevised values . 1 . Introduced in the 2020 annual update as a major category . 
PP_EuS_2019-02.txt,": BPM5 standard services   BPM6 standard services Transport   Manufacturing services on physical inputs owned by others Travel   Maintenance and repair services , ",not included ,elsewhere Communication services   Transport Construction services   Travel Insurance services   Construction services Financial services   Insurance and pension services Computer and 
PP_EuS_2019-02.txt," Insurance and pension services Computer and information services   Financial services Royalties and license services   Charges for the use of Intellectual Property , ",not included ,"elsewhere Other business services   Telecommunication , computer and information services Personal , cultural and recreational services   Other business services Government services "
PP_BEA_2020.txt,"Eight of the major service types recorded surpluses , while three recorded deficits ( chart 3 ) .  Transactions between zero and $ 500,000 . ",Not included ,elsewhere Suppressed to avoid disclosure of data of individual companies .  1 . The rank is based on the total value of services 
RE_ECB_2016_e.txt,". Other claims include loans to non- resident non - banks , long - term loans to an IMF Trust account and other financial assets ",not included ,previously but that meet the reserve assets definition . 2 . Monthly balance of payments The compilation of monthly data for several current 
RE_EU_2012_e.txt,". Other claims include loans to non- resident non - banks , long - term loans to an IMF Trust account and other financial assets ",not included ,previously but that meet the reserve assets definition . ’  
RM_IMF_2009_e.txt,"paragraph 6.86 ) , loans arising from a reverse repo ( unless classified as deposits ) ( paragraph 6.89 ) , and other financial assets ",not included ,previously but that are foreign currency assets that are available for immediate use ( such as nonnegotiable investment fund shares or units as 
RM_ECB_2016_2.txt,"not included under FDI , but recorded as other investment . In addition , transactions ( and related positions ) in securities between affiliates are ",not included ,"here , but under portfolio investment . Credit relationships between fellow enterprises , which have no direct investment relationship but belong to the "
RM_EC+al_2009.txt,"been made but the products are not yet delivered . The means of financing payment , such as the use of credit cards , is ",not included ,here ; the balance on the cards is treated as a loan and payments such as interest or overdue fees are recorded as 
PP_ECB_2020.txt,"remaining assets / liabilities12 , the data on corresponding transactions is not considered to be of adequate quality . Therefore , financial derivatives are also ",not included ,within net external assets . Chapter 4 explains the dynamics between the M3 counterparts in greater detail and when applied to the monetary 
RM_SCan_2016_csma3_e.txt,"often referred to as positions . 5 . Since consumer durable goods ( motor vehicles , major appliances , furniture , etc . ) are ",not included ,"within the asset boundary , expenditures on these goods by households are not considered to be gross fixed capital formation . Nevertheless , "
PP_Scan_2020_e.txt,"national accounts began to incorporate non- profit institutions as a distinct institutional sector ( although voluntary activities , which have no market valuation , were ",not included ,") . Later , in 2019 , responding to requests for more comprehensive statistics on Canada ’s non - profit and volunteering sector "
PP_BEA_2020.txt,to foreign affiliates owned by the supplying U.S. affiliate . Services supplied to foreign affiliates that are not owned by the supplying U.S. affiliate are ,not included ,.  Future Enhancements to the International Services Statistics BEA continues its efforts to enhance its international services statistics.1 For a summary of the 
PP_EuS_2019-02.txt,"based on reference rates . In BPM5 , FISIM was not a part of financial services .  "" Charges for the use of Intellectual Property ",not included ,"elseewhere "" replaces the term "" Royalties and License fees "" and includes charges for the use of : ( i ) the "
PP_EuS_2019-02.txt,"included elsewhere Other business services   Telecommunication , computer and information services Personal , cultural and recreational services   Other business services Government services , ",not included ,"elsewhere   Personal , cultural and recreational services   Government goods and services , not included elsewhere  From a first look at the "
RM_EC+al_2009.txt,expenditure . 2 . Unpaid services and welfare The production boundary of the SNA is such that the services produced and consumed by households are ,not included ,"except for the imputed rental of owner - occupied dwellings and the payments made to domestic staff . Similarly , no estimate is "
PP_EuS_2020.txt,"by others ’ . Goods acquired for processing abroad or goods sold after processing abroad are included as goods in the BOP , but are ",not included ,"in ITGS , since they are not present in the compiling economy . Differences in valuation occur because imports / debits are valued "
